chair,Home and Garden,0,10001,9,80.000000,12345,0.150000,5555
Coffee Table,Home and Garden,0,10002,15,149.990005,12345,0.150000,5555
Milk,Grocery,1,10003,44,7.990000,12346,0.100000,5555
Shampoo,Health and Beauty,2,10004,20,8.990000,12346,0.100000,5555
Soap,Health and Beauty,2,10005,50,5.990000,12346,0.100000,5555
Lamp,Home and Garden,0,10006,5,20.990000,12345,0.150000,5555
Mattress,Home and Garden,0,10008,15,699.989990,12345,0.150000,5556
Jeans,Clothing and Shoes,3,10009,20,20.990000,12346,0.100000,5556
Cycle,Automotive,5,10010,20,249.990005,12345,0.150000,5556
Yogurt,Grocery,1,10011,30,4.990000,12345,0.150000,5557
Dining Table,Home and Garden,0,10012,20,149.990005,12345,0.150000,5557
